id,keyword,companyname
567,GUJGASLTD,Gujarat Gas Limited
568,GUJRAFFIA,Gujarat Raffia Industries Limited
569,GULFOILLUB,Gulf Oil Lubricants India Limited
570,GULFPETRO,GP Petroleums Limited
571,GULPOLY,Gulshan Polyols Limited
572,HAL,Hindustan Aeronautics Limited
573,HAPPSTMNDS,Happiest Minds Technologies Limited
574,HARRMALAYA,Harrisons  Malayalam Limited
575,HATHWAY,Hathway Cable & Datacom Limited
576,HATSUN,Hatsun Agro Product Limited
577,HAVELLS,Havells India Limited
578,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
579,HBLPOWER,HBL Power Systems Limited
580,HBSL,HB Stockholdings Limited
581,HCC,Hindustan Construction Company Limited
582,HCG,Healthcare Global Enterprises Limited
583,HCL-INSYS,HCL Infosystems Limited
584,HCLTECH,HCL Technologies Limited
585,HDFC,Housing Development Finance Corporation Limited
586,HDFCAMC,HDFC Asset Management Company Limited
587,HDFCBANK,HDFC Bank Limited
588,HDFCLIFE,HDFC Life Insurance Company Limited
589,HDIL,Housing Development and Infrastructure Limited
590,HEG,HEG Limited
591,HEIDELBERG,HeidelbergCement India Limited
592,HEMIPROP,Hemisphere Properties India Limited
593,HERANBA,Heranba Industries Limited
594,HERCULES,Hercules Hoists Limited
595,HERITGFOOD,Heritage Foods Limited
596,HEROMOTOCO,Hero MotoCorp Limited
597,HESTERBIO,Hester Biosciences Limited
598,HEXATRADEX,Hexa Tradex Limited
599,HFCL,HFCL Limited
600,HGINFRA,H.G. Infra Engineering Limited
601,HGS,Hinduja Global Solutions Limited
602,HIKAL,Hikal Limited
603,HIL,HIL Limited
604,HILTON,Hilton Metal Forging Limited
605,HIMATSEIDE,Himatsingka Seide Limited
606,HINDALCO,Hindalco Industries Limited
607,HINDCOMPOS,Hindustan Composites Limited
608,HINDCOPPER,Hindustan Copper Limited
609,HINDMOTORS,Hindustan Motors Limited
610,HINDNATGLS,Hindusthan National Glass & Industries Limited
611,HINDOILEXP,Hindustan Oil Exploration Company Limited
612,HINDPETRO,Hindustan Petroleum Corporation Limited
613,HINDUNILVR,Hindustan Unilever Limited
614,HINDZINC,Hindustan Zinc Limited
615,HIRECT,Hind Rectifiers Limited
616,HISARMETAL,Hisar Metal Industries Limited
617,HITECH,Hi-Tech Pipes Limited
618,HITECHCORP,Hitech Corporation Limited
619,HITECHGEAR,The Hi-Tech Gears Limited
620,HLEGLAS,HLE Glascoat Limited
621,HLVLTD,HLV LIMITED
622,HMT,HMT Limited
623,HMVL,Hindustan Media Ventures Limited
624,HNDFDS,Hindustan Foods Limited
625,HOMEFIRST,Home First Finance Company India Limited
626,HONAUT,Honeywell Automation India Limited
627,HONDAPOWER,Honda India Power Products Limited
628,HOTELRUGBY,Hotel Rugby Limited
629,HOVS,HOV Services Limited
630,HPL,HPL Electric & Power Limited
631,HSCL,Himadri Speciality Chemical Limited
632,HSIL,HSIL Limited
633,HTMEDIA,HT Media Limited
634,HUBTOWN,Hubtown Limited
635,HUDCO,Housing & Urban Development Corporation Limited
636,HUHTAMAKI,Huhtamaki India Limited
637,IBREALEST,Indiabulls Real Estate Limited
638,IBULHSGFIN,Indiabulls Housing Finance Limited
639,ICEMAKE,Ice Make Refrigeration Limited
640,ICICIBANK,ICICI Bank Limited
641,ICICIGI,ICICI Lombard General Insurance Company Limited
642,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
643,ICIL,Indo Count Industries Limited
644,ICRA,ICRA Limited
645,IDBI,IDBI Bank Limited
646,IDEA,Vodafone Idea Limited
647,IDFC,IDFC Limited
648,IDFCFIRSTB,IDFC First Bank Limited
649,IEX,Indian Energy Exchange Limited
650,IFBAGRO,IFB Agro Industries Limited
651,IFBIND,IFB Industries Limited
652,IFCI,IFCI Limited
653,IFGLEXPOR,IFGL Refractories Limited
654,IGARASHI,Igarashi Motors India Limited
655,IGL,Indraprastha Gas Limited
656,IGPL,IG Petrochemicals Limited
657,IIFL,IIFL Finance Limited
658,IIFLSEC,IIFL Securities Limited
659,IIFLWAM,Iifl Wealth Management Limited
660,IITL,Industrial Investment Trust Limited
661,IL&FSENGG,IL&FS Engineering and Construction Company Limited
662,IL&FSTRANS,IL&FS Transportation Networks Limited
663,IMAGICAA,Imagicaaworld Entertainment Limited
664,IMFA,Indian Metals & Ferro Alloys Limited
665,IMPAL,India Motor Parts and Accessories Limited
666,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
667,INDBANK,Indbank Merchant Banking Services Limited
668,INDHOTEL,The Indian Hotels Company Limited
669,INDIACEM,The India Cements Limited
670,INDIAGLYCO,India Glycols Limited
671,INDIAMART,Indiamart Intermesh Limited
672,INDIANB,Indian Bank
673,INDIANCARD,Indian Card Clothing Company Limited
674,INDIANHUME,Indian Hume Pipe Company Limited
675,INDIGO,InterGlobe Aviation Limited
676,INDIGOPNTS,Indigo Paints Limited
677,INDLMETER,IMP Powers Limited
678,INDNIPPON,India Nippon Electricals Limited
679,INDOCO,Indoco Remedies Limited
680,INDORAMA,Indo Rama Synthetics (India) Limited
681,INDOSOLAR,Indosolar Limited
682,INDOSTAR,IndoStar Capital Finance Limited
683,INDOTECH,Indo Tech Transformers Limited
684,INDOTHAI,Indo Thai Securities Limited
685,INDOWIND,Indowind Energy Limited
686,INDRAMEDCO,Indraprastha Medical Corporation Limited
687,INDSWFTLAB,Ind-Swift Laboratories Limited
688,INDTERRAIN,Indian Terrain Fashions Limited
689,INDUSINDBK,IndusInd Bank Limited
690,INDUSTOWER,Indus Towers Limited
691,INEOSSTYRO,INEOS Styrolution India Limited
692,INFIBEAM,Infibeam Avenues Limited
693,INFOBEAN,InfoBeans Technologies Limited
694,INFOMEDIA,Infomedia Press Limited
695,INFY,Infosys Limited
696,INGERRAND,Ingersoll Rand (India) Limited
697,INOXLEISUR,INOX Leisure Limited
698,INOXWIND,Inox Wind Limited
699,INSECTICID,Insecticides (India) Limited
700,INSPIRISYS,Inspirisys Solutions Limited
701,INTELLECT,Intellect Design Arena Limited
702,INTENTECH,Intense Technologies Limited
703,INVENTURE,Inventure Growth & Securities Limited
704,IOB,Indian Overseas Bank
705,IOC,Indian Oil Corporation Limited
706,IOLCP,IOL Chemicals and Pharmaceuticals Limited
707,IPCALAB,IPCA Laboratories Limited
708,IRB,IRB Infrastructure Developers Limited
709,IRCON,Ircon International Limited
710,IRCTC,Indian Railway Catering And Tourism Corporation Limited
711,IRFC,Indian Railway Finance Corporation Limited
712,IRISDOREME,Iris Clothings Limited
713,ISEC,ICICI Securities Limited
714,ISFT,Intrasoft Technologies Limited
715,ISGEC,Isgec Heavy Engineering Limited
716,ISMTLTD,ISMT Limited
717,ITC,ITC Limited
718,ITDC,India Tourism Development Corporation Limited
719,ITDCEM,ITD Cementation India Limited
720,ITI,ITI Limited
721,IVC,IL&FS Investment Managers Limited
722,IVP,IVP Limited
723,IWEL,Inox Wind Energy Limited
724,IZMO,IZMO Limited
725,J&KBANK,The Jammu & Kashmir Bank Limited
726,JAGRAN,Jagran Prakashan Limited
727,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
728,JAIBALAJI,Jai Balaji Industries Limited
729,JAICORPLTD,Jai Corp Limited
730,JAINSTUDIO,Jain Studios Limited
731,JAMNAAUTO,Jamna Auto Industries Limited
732,JASH,Jash Engineering Limited
733,JAYAGROGN,Jayant Agro Organics Limited
734,JAYBARMARU,Jay Bharat Maruti Limited
735,JAYNECOIND,Jayaswal Neco Industries Limited
736,JAYSREETEA,Jayshree Tea & Industries Limited
737,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
738,JBFIND,JBF Industries Limited
739,JBMA,JBM Auto Limited
740,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
741,JETAIRWAYS,Jet Airways (India) Limited
742,JHS,JHS Svendgaard Laboratories Limited
743,JINDALPHOT,Jindal Photo Limited
744,JINDALPOLY,Jindal Poly Films Limited
745,JINDALSAW,Jindal Saw Limited
746,JINDALSTEL,Jindal Steel & Power Limited
747,JINDRILL,Jindal Drilling And Industries Limited
748,JINDWORLD,Jindal Worldwide Limited
749,JISLDVREQS,Jain Irrigation Systems Limited
750,JISLJALEQS,Jain Irrigation Systems Limited
751,JIYAECO,Jiya Eco-Products Limited
752,JKCEMENT,JK Cement Limited
753,JKIL,J.Kumar Infraprojects Limited
754,JKLAKSHMI,JK Lakshmi Cement Limited
755,JKPAPER,JK Paper Limited
756,JKTYRE,JK Tyre & Industries Limited
757,JMA,Jullundur Motor Agency (Delhi) Limited
758,JMCPROJECT,JMC Projects (India)  Limited
759,JMFINANCIL,JM Financial Limited
760,JMTAUTOLTD,JMT Auto Limited
761,JOCIL,Jocil Limited
762,JPASSOCIAT,Jaiprakash Associates Limited
763,JPINFRATEC,Jaypee Infratech Limited
764,JPPOWER,Jaiprakash Power Ventures Limited
765,JSL,Jindal Stainless Limited
766,JSLHISAR,Jindal Stainless (Hisar) Limited
767,JSWENERGY,JSW Energy Limited
768,JSWHL,JSW Holdings Limited
769,JSWISPL,JSW Ispat Special Products Limited
770,JSWSTEEL,JSW Steel Limited
771,JTEKTINDIA,Jtekt India Limited
772,JUBLFOOD,Jubilant Foodworks Limited
773,JUBLINDS,Jubilant Industries Limited
774,JUBLINGREA,Jubilant Ingrevia Limited
775,JUBLPHARMA,Jubilant Pharmova Limited
776,JUMPNET,Jump Networks Limited
777,JUSTDIAL,Just Dial Limited
778,JYOTHYLAB,Jyothy Labs Limited
779,JYOTISTRUC,Jyoti Structures Limited
780,KABRAEXTRU,Kabra Extrusion Technik Limited
781,KAJARIACER,Kajaria Ceramics Limited
782,KAKATCEM,Kakatiya Cement Sugar & Industries Limited
783,KALPATPOWR,Kalpataru Power Transmission Limited
784,KALYANI,Kalyani Commercials Limited
785,KALYANIFRG,Kalyani Forge Limited
786,KALYANKJIL,Kalyan Jewellers India Limited
787,KAMATHOTEL,Kamat Hotels (I) Limited
788,KAMDHENU,Kamdhenu Limited
789,KANANIIND,Kanani Industries Limited
790,KANORICHEM,Kanoria Chemicals & Industries Limited
791,KANPRPLA,Kanpur Plastipack Limited
792,KANSAINER,Kansai Nerolac Paints Limited
793,KAPSTON,Kapston Facilities Management Limited
794,KARDA,Karda Constructions Limited
795,KARMAENG,Karma Energy Limited
796,KARURVYSYA,Karur Vysya Bank Limited
797,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
798,KAYA,Kaya Limited
799,KCP,KCP Limited
800,KCPSUGIND,KCP Sugar and Industries Corporation Limited
801,KDDL,KDDL Limited
802,KEC,KEC International Limited
803,KECL,Kirloskar Electric Company Limited
804,KEERTI,Keerti Knowledge and Skills Limited
805,KEI,KEI Industries Limited
806,KELLTONTEC,Kellton Tech Solutions Limited
807,KENNAMET,Kennametal India Limited
808,KERNEX,Kernex Microsystems (India) Limited
809,KESORAMIND,Kesoram Industries Limited
810,KEYFINSERV,Keynote Financial Services Limited
811,KGL,Karuturi Global Limited
812,KHADIM,Khadim India Limited
813,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
814,KHANDSE,Khandwala Securities Limited
815,KICL,Kalyani Investment Company Limited
816,KILITCH,Kilitch Drugs (India) Limited
817,KINGFA,Kingfa Science & Technology (India) Limited
818,KIOCL,KIOCL Limited
819,KIRIINDUS,Kiri Industries Limited
820,KIRLFER,Kirloskar Ferrous Industries Ltd
821,KIRLOSBROS,Kirloskar Brothers Limited
822,KIRLOSENG,Kirloskar Oil Engines Limited
823,KIRLOSIND,Kirloskar Industries Limited
824,KITEX,Kitex Garments Limited
825,KKCL,Kewal Kiran Clothing Limited
826,KMSUGAR,K.M.Sugar Mills Limited
827,KNRCON,KNR Constructions Limited
828,KOKUYOCMLN,Kokuyo Camlin Limited
829,KOLTEPATIL,Kolte - Patil Developers Limited
830,KOPRAN,Kopran Limited
831,KOTAKBANK,Kotak Mahindra Bank Limited
832,KOTARISUG,Kothari Sugars And Chemicals Limited
833,KOTHARIPET,Kothari Petrochemicals Limited
834,KOTHARIPRO,Kothari Products Limited
835,KPITTECH,KPIT Technologies Limited
836,KPRMILL,K.P.R. Mill Limited
837,KRBL,KRBL Limited
838,KREBSBIO,Krebs Biochemicals and Industries Limited
839,KRIDHANINF,Kridhan Infra Limited
840,KRISHANA,Krishana Phoschem Limited
841,KSB,Ksb Limited
842,KSCL,Kaveri Seed Company Limited
843,KSL,Kalyani Steels Limited
844,KTKBANK,The Karnataka Bank Limited
845,KUANTUM,Kuantum Papers Limited
846,L&TFH,L&T Finance Holdings Limited
847,LAKPRE,Lakshmi Precision Screws Limited
848,LALPATHLAB,Dr. Lal Path Labs Ltd.
849,LAMBODHARA,Lambodhara Textiles Limited
850,LAOPALA,La Opala RG Limited
851,LASA,Lasa Supergenerics Limited
852,LAURUSLABS,Laurus Labs Limited
853,LAXMIMACH,Lakshmi Machine Works Limited
854,LCCINFOTEC,LCC Infotech Limited
855,LEMONTREE,Lemon Tree Hotels Limited
856,LFIC,Lakshmi Finance & Industrial Corporation Limited
857,LGBBROSLTD,LG Balakrishnan & Bros Limited
858,LGBFORGE,LGB Forge Limited
859,LIBAS,Libas Consumer Products Limited
860,LIBERTSHOE,Liberty Shoes Limited
861,LICHSGFIN,LIC Housing Finance Limited
862,LIKHITHA,Likhitha Infrastructure Limited
863,LINCOLN,Lincoln Pharmaceuticals Limited
864,LINCPEN,Linc Pen & Plastics Limited
865,LINDEINDIA,Linde India Limited
866,LODHA,Macrotech Developers Limited
867,LOKESHMACH,Lokesh Machines Limited
868,LOTUSEYE,Lotus Eye Hospital and Institute Limited
869,LOVABLE,Lovable Lingerie Limited
870,LPDC,Landmark Property Development Company Limited
871,LSIL,Lloyds Steels Industries Limited
872,LT,Larsen & Toubro Limited
873,LTI,Larsen & Toubro Infotech Limited
874,LTTS,L&T Technology Services Limited
875,LUMAXIND,Lumax Industries Limited
876,LUMAXTECH,Lumax Auto Technologies Limited
877,LUPIN,Lupin Limited
878,LUXIND,Lux Industries Limited
879,LXCHEM,Laxmi Organic Industries Limited
880,LYKALABS,Lyka Labs Limited
881,LYPSAGEMS,Lypsa Gems & Jewellery Limited
882,M&M,Mahindra & Mahindra Limited
883,M&MFIN,Mahindra & Mahindra Financial Services Limited
884,MAANALU,Maan Aluminium Limited
885,MACPOWER,Macpower CNC Machines Limited
886,MADHAV,Madhav Marbles and Granites Limited
887,MADHUCON,Madhucon Projects Limited
888,MADRASFERT,Madras Fertilizers Limited
889,MAGADSUGAR,Magadh Sugar & Energy Limited
890,MAGMA,Magma Fincorp Limited
891,MAGNUM,Magnum Ventures Limited
892,MAHABANK,Bank of Maharashtra
893,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
894,MAHASTEEL,Mahamaya Steel Industries Limited
895,MAHEPC,Mahindra EPC Irrigation Limited
896,MAHESHWARI,Maheshwari Logistics Limited
897,MAHINDCIE,Mahindra CIE Automotive Limited
898,MAHLIFE,Mahindra Lifespace Developers Limited
899,MAHLOG,Mahindra Logistics Limited
900,MAHSCOOTER,Maharashtra Scooters Limited
901,MAHSEAMLES,Maharashtra Seamless Limited
902,MAITHANALL,Maithan Alloys Limited
903,MAJESCO,Majesco Limited
904,MALUPAPER,Malu Paper Mills Limited
905,MANAKALUCO,Manaksia Aluminium Company Limited
906,MANAKCOAT,Manaksia Coated Metals & Industries Limited
907,MANAKSIA,Manaksia Limited
908,MANAKSTEEL,Manaksia Steels Limited
909,MANALIPETC,Manali Petrochemicals Limited
910,MANAPPURAM,Manappuram Finance Limited
911,MANGALAM,Mangalam Drugs And Organics Limited
912,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
913,MANGLMCEM,Mangalam Cement Limited
914,MANGTIMBER,Mangalam Timber Products Limited
915,MANINDS,Man Industries (India) Limited
916,MANINFRA,Man Infraconstruction Limited
917,MANUGRAPH,Manugraph India Limited
918,MARALOVER,Maral Overseas Limited
919,MARATHON,Marathon Nextgen Realty Limited
920,MARICO,Marico Limited
921,MARINE,Marine Electricals (India) Limited
922,MARKSANS,Marksans Pharma Limited
923,MARUTI,Maruti Suzuki India Limited
924,MASFIN,MAS Financial Services Limited
925,MASKINVEST,Mask Investments Limited
926,MASTEK,Mastek Limited
927,MATRIMONY,Matrimony.Com Limited
928,MAWANASUG,Mawana Sugars Limited
929,MAXHEALTH,Max Healthcare Institute Limited
930,MAXIND,Max India Limited
931,MAXVIL,Max Ventures and Industries Limited
932,MAYURUNIQ,Mayur Uniquoters Ltd
933,MAZDA,Mazda Limited
934,MAZDOCK,Mazagon Dock Shipbuilders Limited
935,MBAPL,Madhya Bharat Agro Products Limited
936,MBECL,Mcnally Bharat Engineering Company Limited
937,MBLINFRA,MBL Infrastructures Limited
938,MCDHOLDING,McDowell Holdings Limited
939,MCDOWELL-N,United Spirits Limited
940,MCL,Madhav Copper Limited
941,MCLEODRUSS,Mcleod Russel India Limited
942,MCX,Multi Commodity Exchange of India Limited
943,MEGASOFT,Megasoft Limited
944,MELSTAR,Melstar Information Technologies Limited
945,MENONBE,Menon Bearings Limited
946,MEP,MEP Infrastructure Developers Limited
947,MERCATOR,Mercator Limited
948,METALFORGE,Metalyst Forgings Limited
949,METROPOLIS,Metropolis Healthcare Limited
950,MFSL,Max Financial Services Limited
951,MGEL,Mangalam Global Enterprise Limited
952,MGL,Mahanagar Gas Limited
953,MHRIL,Mahindra Holidays & Resorts India Limited
954,MIDHANI,Mishra Dhatu Nigam Limited
955,MINDACORP,Minda Corporation Limited
956,MINDAIND,Minda Industries Limited
957,MINDTECK,Mindteck (India) Limited
958,MINDTREE,MindTree Limited
959,MIRCELECTR,MIRC Electronics Limited
960,MIRZAINT,Mirza International Limited
961,MITTAL,Mittal Life Style Limited
962,MMFL,MM Forgings Limited
963,MMP,MMP Industries Limited
964,MMTC,MMTC Limited
965,MODIRUBBER,Modi Rubber Limited
966,MODISNME,Modison Metals Limited
967,MOHITIND,Mohit Industries Limited
968,MOHOTAIND,Mohota Industries Limited
969,MOIL,MOIL Limited
970,MOKSH,Moksh Ornaments Limited
971,MOLDTECH,Mold-Tek Technologies Limited
972,MOLDTKPAC,Mold-Tek Packaging Limited
973,MONTECARLO,Monte Carlo Fashions Limited
974,MORARJEE,Morarjee Textiles Limited
975,MOREPENLAB,Morepen Laboratories Limited
976,MOTHERSUMI,Motherson Sumi Systems Limited
977,MOTILALOFS,Motilal Oswal Financial Services Limited
978,MOTOGENFIN,The Motor & General Finance Limited
979,MPHASIS,MphasiS Limited
980,MPSLTD,MPS Limited
981,MRF,MRF Limited
982,MRO-TEK,MRO-TEK Realty Limited
983,MRPL,Mangalore Refinery and Petrochemicals Limited
984,MSPL,MSP Steel & Power Limited
985,MSTCLTD,Mstc Limited
986,MTARTECH,Mtar Technologies Limited
987,MTEDUCARE,MT Educare Limited
988,MTNL,Mahanagar Telephone Nigam Limited
989,MUKANDENGG,Mukand Engineers Limited
990,MUKANDLTD,Mukand Limited
991,MUKTAARTS,Mukta Arts Limited
992,MUNJALAU,Munjal Auto Industries Limited
993,MUNJALSHOW,Munjal Showa Limited
994,MURUDCERA,Murudeshwar Ceramics Limited
995,MUTHOOTCAP,Muthoot Capital Services Limited
996,MUTHOOTFIN,Muthoot Finance Limited
997,NACLIND,NACL Industries Limited
998,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
999,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
1000,NAGREEKEXP,Nagreeka Exports Limited
1001,NAHARCAP,Nahar Capital and Financial Services Limited
1002,NAHARINDUS,Nahar Industrial Enterprises Limited
1003,NAHARPOLY,Nahar Poly Films Limited
1004,NAHARSPING,Nahar Spinning Mills Limited
1005,NAM-INDIA,Nippon Life India Asset Management Limited
1006,NATCOPHARM,Natco Pharma Limited
1007,NATHBIOGEN,Nath Bio-Genes (India) Limited
1008,NATIONALUM,National Aluminium Company Limited
1009,NAUKRI,Info Edge (India) Limited
1010,NAVINFLUOR,Navin Fluorine International Limited
1011,NAVKARCORP,Navkar Corporation Limited
1012,NAVNETEDUL,Navneet Education Limited
1013,NAZARA,Nazara Technologies Limited
1014,NBCC,NBCC (India) Limited
1015,NBIFIN,N. B. I. Industrial Finance Company Limited
1016,NBVENTURES,Nava Bharat Ventures Limited
1017,NCC,NCC Limited
1018,NCLIND,NCL Industries Limited
1019,NDGL,Naga Dhunseri Group Limited
1020,NDL,Nandan Denim Limited
1021,NDRAUTO,Ndr Auto Components Limited
1022,NDTV,New Delhi Television Limited
1023,NECCLTD,North Eastern Carrying Corporation Limited
1024,NECLIFE,Nectar Lifesciences Limited
1025,NELCAST,Nelcast Limited
1026,NELCO,NELCO Limited
1027,NEOGEN,Neogen Chemicals Limited
1028,NESCO,Nesco Limited
1029,NESTLEIND,Nestle India Limited
1030,NETWORK18,Network18 Media & Investments Limited
1031,NEULANDLAB,Neuland Laboratories Limited
1032,NEWGEN,Newgen Software Technologies Limited
1033,NEXTMEDIA,Next Mediaworks Limited
1034,NFL,National Fertilizers Limited
1035,NH,Narayana Hrudayalaya Ltd.
1036,NHPC,NHPC Limited
1037,NIACL,The New India Assurance Company Limited
1038,NIBL,NRB Industrial Bearings Limited
1039,NIITLTD,NIIT Limited
1040,NILAINFRA,Nila Infrastructures Limited
1041,NILASPACES,Nila Spaces Limited
1042,NILKAMAL,Nilkamal Limited
1043,NIPPOBATRY,Indo-National Limited
1044,NIRAJ,Niraj Cement Structurals Limited
1045,NIRAJISPAT,Niraj Ispat Industries Limited
1046,NITCO,Nitco Limited
1047,NITINFIRE,Nitin Fire Protection Industries Limited
1048,NITINSPIN,Nitin Spinners Limited
1049,NITIRAJ,Nitiraj Engineers Limited
1050,NKIND,NK Industries Limited
1051,NLCINDIA,NLC India Limited
1052,NMDC,NMDC Limited
1053,NOCIL,NOCIL Limited
1054,NOIDATOLL,Noida Toll Bridge Company Limited
1055,NORBTEAEXP,Norben Tea & Exports Limited
1056,NOVARTIND,Novartis India Limited
1057,NRAIL,N R Agarwal Industries Limited
1058,NRBBEARING,NRB Bearing Limited
1059,NSIL,Nalwa Sons Investments Limited
1060,NTL,Neueon Towers Limited
1061,NTPC,NTPC Limited
1062,NUCLEUS,Nucleus Software Exports Limited
1063,NURECA,Nureca Limited
1064,NXTDIGITAL,NXTDIGITAL LIMITED
1065,OAL,Oriental Aromatics Limited
1066,OBEROIRLTY,Oberoi Realty Limited
1067,OCCL,Oriental Carbon & Chemicals Limited
1068,OFSS,Oracle Financial Services Software Limited
1069,OIL,Oil India Limited
1070,OILCOUNTUB,Oil Country Tubular Limited
1071,OLECTRA,Olectra Greentech Limited
1072,OMAXAUTO,Omax Autos Limited
1073,OMAXE,Omaxe Limited
1074,OMINFRAL,OM INFRA LIMITED
1075,OMKARCHEM,Omkar Speciality Chemicals Limited
1076,ONEPOINT,One Point One Solutions Limited
1077,ONGC,Oil & Natural Gas Corporation Limited
1078,ONMOBILE,OnMobile Global Limited
1079,ONWARDTEC,Onward Technologies Limited
1080,OPTIEMUS,Optiemus Infracom Limited
1081,OPTOCIRCUI,Opto Circuits (India) Limited
1082,ORBTEXP,Orbit Exports Limited
1083,ORCHPHARMA,Orchid Pharma Limited
1084,ORICONENT,Oricon Enterprises Limited
1085,ORIENTABRA,Orient Abrasives Limited
1086,ORIENTALTL,Oriental Trimex Limited
1087,ORIENTBELL,Orient Bell Limited
1088,ORIENTCEM,Orient Cement Limited
1089,ORIENTELEC,Orient Electric Limited
1090,ORIENTHOT,Oriental Hotels Limited
1091,ORIENTLTD,Orient Press Limited
1092,ORIENTPPR,Orient Paper & Industries Limited
1093,ORIENTREF,Orient Refractories Limited
1094,ORISSAMINE,The Orissa Minerals Development Company Limited
1095,ORTEL,Ortel Communications Limited
1096,ORTINLAB,Ortin Laboratories Limited
1097,OSWALAGRO,Oswal Agro Mills Limited
1098,PAEL,PAE Limited
1099,PAGEIND,Page Industries Limited
1100,PAISALO,Paisalo Digital Limited
1101,PALASHSECU,Palash Securities Limited
1102,PALREDTEC,Palred Technologies Limited
1103,PANACEABIO,Panacea Biotec Limited
1104,PANACHE,Panache Digilife Limited
1105,PANAMAPET,Panama Petrochem Limited
1106,PARACABLES,Paramount Communications Limited
1107,PARAGMILK,Parag Milk Foods Limited
1108,PARSVNATH,Parsvnath Developers Limited
1109,PATELENG,Patel Engineering Limited
1110,PATINTLOG,Patel Integrated Logistics Limited
1111,PATSPINLTD,Patspin India Limited
1112,PBAINFRA,PBA Infrastructure Limited
1113,PCJEWELLER,PC Jeweller Limited
1114,PDMJEPAPER,Pudumjee Paper Products Limited
1115,PDSMFL,PDS Multinational Fashions Limited
1116,PEARLPOLY,Pearl Polymers Limited
1117,PEL,Piramal Enterprises Limited
1118,PENIND,Pennar Industries Limited
1119,PENINLAND,Peninsula Land Limited
1120,PERSISTENT,Persistent Systems Limited
1121,PETRONET,Petronet LNG Limited
1122,PFC,Power Finance Corporation Limited
